field,value,unit,notes
ticker,TINYCO,text,
company_name,Tiny Widgets Ltd,text,
as_of_date,2026-08-27,date,
current_price,8.50,USD/share,
shares_diluted,42,millions,
market_cap,,USD mm,
ttm_revenue,120,USD mm,
ttm_gross_margin,0.38,decimal,
ttm_ebitda,14,USD mm,
ttm_ebit,10,USD mm,
ttm_net_income,7,USD mm,
ttm_eps_diluted,0.17,USD/share,
ttm_capex,6,USD mm,
total_debt,25,USD mm,
cash_and_investments,8,USD mm,
ppe_net,40,USD mm,
tax_rate_effective,0.24,decimal,
beta,1.3,number,
risk_free_rate,0.043,decimal,
equity_risk_premium,0.055,decimal,
wacc_estimate,,decimal,blank -> auto CAPM
sbc_dilution_pct,0.015,decimal,
buyback_pct,0.0,decimal,
